
==== File inventory ====
path	size_bytes	modified_time

# root: /scratch/pr21vyci/adaptive-remeshing/runs/abaqus_user_subroutine_smoke_1374532.mmaster02
/scratch/pr21vyci/adaptive-remeshing/runs/abaqus_user_subroutine_smoke_1374532.mmaster02/abaqus_user_subroutine_smoke.inp	509	2026-07-15 07:06:26.4980435850
/scratch/pr21vyci/adaptive-remeshing/runs/abaqus_user_subroutine_smoke_1374532.mmaster02/uexternaldb_smoke.for	336	2026-07-15 07:06:26.5061567480
/scratch/pr21vyci/adaptive-remeshing/runs/abaqus_user_subroutine_smoke_1374532.mmaster02/abaqus_user_subroutine_smoke.com	3139	2026-07-15 07:06:27.5990719390
/scratch/pr21vyci/adaptive-remeshing/runs/abaqus_user_subroutine_smoke_1374532.mmaster02/abaqus_user_subroutine_smoke.dat	9610	2026-07-15 07:06:41.4910868510
/scratch/pr21vyci/adaptive-remeshing/runs/abaqus_user_subroutine_smoke_1374532.mmaster02/abaqus_user_subroutine_smoke.odb	266936	2026-07-15 07:06:41.6670252170
/scratch/pr21vyci/adaptive-remeshing/runs/abaqus_user_subroutine_smoke_1374532.mmaster02/abaqus_user_subroutine_smoke.msg	19816	2026-07-15 07:06:41.4911300260
/scratch/pr21vyci/adaptive-remeshing/runs/abaqus_user_subroutine_smoke_1374532.mmaster02/abaqus_user_subroutine_smoke.sta	1038	2026-07-15 07:06:41.4911419750
/scratch/pr21vyci/adaptive-remeshing/runs/abaqus_user_subroutine_smoke_1374532.mmaster02/abaqus_user_subroutine_smoke.prt	118	2026-07-15 07:06:41.6817282170

# root: /scratch/pr21vyci/adaptive-remeshing/runs/abaqus_user_subroutine_smoke_1374532.mmaster02/abaqus_scratch

# root: /scratch/pr21vyci/adaptive-remeshing/stage/abaqus_user_subroutine_smoke_1374532.mmaster02

# root: /home/pr21vyci/projects/adaptive-remeshing
/home/pr21vyci/projects/adaptive-remeshing/.git/description	73	2026-07-15 06:17:33.3031863190
/home/pr21vyci/projects/adaptive-remeshing/.git/info/exclude	240	2026-07-15 06:17:33.3041863190
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/prepare-commit-msg.sample	1492	2026-07-15 06:17:33.3051863180
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/pre-rebase.sample	4898	2026-07-15 06:17:33.3051863180
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/fsmonitor-watchman.sample	4726	2026-07-15 06:17:33.3061863180
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/update.sample	3650	2026-07-15 06:17:33.3061863180
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/sendemail-validate.sample	2308	2026-07-15 06:17:33.3071863180
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/push-to-checkout.sample	2783	2026-07-15 06:17:33.3071863180
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/pre-receive.sample	544	2026-07-15 06:17:33.3081863170
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/pre-push.sample	1374	2026-07-15 06:17:33.3081863170
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/pre-merge-commit.sample	416	2026-07-15 06:17:33.3091863170
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/pre-commit.sample	1649	2026-07-15 06:17:33.3091863170
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/pre-applypatch.sample	424	2026-07-15 06:17:33.3101863170
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/post-update.sample	189	2026-07-15 06:17:33.3101863170
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/commit-msg.sample	896	2026-07-15 06:17:33.3101863170
/home/pr21vyci/projects/adaptive-remeshing/.git/hooks/applypatch-msg.sample	478	2026-07-15 06:17:33.3111863170
/home/pr21vyci/projects/adaptive-remeshing/.git/refs/heads/main	41	2026-07-15 06:59:16.6866888230
